,,total_cases,new_cases,total_deaths,new_deaths,case_datality_rate
,,amax,sum,amax,sum,
location,month,,,,,
Algeria,2020-10,57942.0,6412.0,1964.0,228.0,0.03389596493044769
Algeria,2020-11,83199.0,25257.0,2431.0,467.0,0.029219101191120086
Algeria,2020-12,99610.0,16411.0,2756.0,325.0,0.027667904828832447
Andorra,2020-03,376.0,376.0,12.0,12.0,0.031914893617021274
Andorra,2020-04,745.0,369.0,42.0,30.0,0.056375838926174496
Andorra,2020-05,764.0,19.0,51.0,9.0,0.06675392670157068
Andorra,2020-06,855.0,91.0,52.0,1.0,0.0608187134502924
Andorra,2020-07,925.0,70.0,52.0,0.0,0.05621621621621622
Andorra,2020-08,1176.0,251.0,53.0,1.0,0.045068027210884355
Andorra,2020-09,2050.0,874.0,53.0,0.0,0.025853658536585365
Andorra,2020-10,4756.0,2706.0,75.0,22.0,0.01576955424726661
Andorra,2020-11,6745.0,1989.0,76.0,1.0,0.011267605633802818
Andorra,2020-12,8049.0,1304.0,84.0,8.0,0.010436079016026835
Angola,2020-03,7.0,7.0,2.0,2.0,0.2857142857142857
Angola,2020-04,27.0,20.0,2.0,0.0,0.07407407407407407
Angola,2020-05,86.0,59.0,4.0,2.0,0.046511627906976744
Angola,2020-06,284.0,198.0,13.0,9.0,0.045774647887323945
Angola,2020-07,1148.0,864.0,52.0,39.0,0.04529616724738676
Angola,2020-08,2654.0,1506.0,108.0,56.0,0.04069329314242653
Angola,2020-09,4972.0,2318.0,183.0,75.0,0.03680611423974256
Angola,2020-10,10805.0,5833.0,284.0,101.0,0.026284127718648773
Angola,2020-11,15139.0,4334.0,348.0,64.0,0.022986987251469714
Angola,2020-12,17553.0,2414.0,405.0,57.0,0.023072978977952487
Antigua and Barbuda,2020-03,7.0,7.0,,0.0,
Antigua and Barbuda,2020-04,24.0,17.0,3.0,3.0,0.125
Antigua and Barbuda,2020-05,26.0,2.0,3.0,0.0,0.11538461538461539
Antigua and Barbuda,2020-06,69.0,43.0,3.0,0.0,0.043478260869565216
Antigua and Barbuda,2020-07,91.0,22.0,3.0,0.0,0.03296703296703297
Antigua and Barbuda,2020-08,94.0,3.0,3.0,0.0,0.031914893617021274
Antigua and Barbuda,2020-09,101.0,7.0,3.0,0.0,0.0297029702970297
Antigua and Barbuda,2020-10,128.0,27.0,3.0,0.0,0.0234375
Antigua and Barbuda,2020-11,141.0,13.0,4.0,1.0,0.028368794326241134
Antigua and Barbuda,2020-12,159.0,18.0,5.0,1.0,0.031446540880503145
Argentina,2020-01,,0.0,,0.0,
Argentina,2020-02,,0.0,,0.0,
Argentina,2020-03,1054.0,1054.0,27.0,27.0,0.025616698292220113
Argentina,2020-04,4428.0,3374.0,218.0,191.0,0.04923215898825655
Argentina,2020-05,16851.0,12423.0,539.0,321.0,0.031986232271081834
Argentina,2020-06,64530.0,47679.0,1307.0,768.0,0.02025414535874787
Argentina,2020-07,191302.0,126772.0,3543.0,2236.0,0.018520454569215167
Argentina,2020-08,417735.0,226433.0,8660.0,5117.0,0.020730846110572493
Argentina,2020-09,751001.0,333266.0,16937.0,8277.0,0.022552566507900787
Argentina,2020-10,1166924.0,415923.0,31002.0,14065.0,0.026567282873606164
Argentina,2020-11,1424533.0,257609.0,38730.0,7728.0,0.027187857353953893
Argentina,2020-12,1625514.0,200981.0,43245.0,4515.0,0.026603892676408815
Armenia,2020-03,532.0,532.0,3.0,3.0,0.005639097744360902
Armenia,2020-04,2066.0,1534.0,32.0,29.0,0.015488867376573089
Armenia,2020-05,9282.0,7216.0,131.0,99.0,0.014113337642749408
Armenia,2020-06,25542.0,16260.0,443.0,312.0,0.01734398246026153
Armenia,2020-07,38550.0,13008.0,738.0,295.0,0.01914396887159533
Armenia,2020-08,43781.0,5231.0,879.0,141.0,0.020077202439414358
Armenia,2020-09,50359.0,6578.0,959.0,80.0,0.019043269326237615
Armenia,2020-10,89813.0,39454.0,1341.0,382.0,0.014931023348513022
Armenia,2020-11,135124.0,45311.0,2164.0,823.0,0.016014919629377462
Armenia,2020-12,159409.0,24285.0,2823.0,659.0,0.01770916322164997
Asia,2020-01,9889.0,9333.0,213.0,196.0,0.02153908383051876
Asia,2020-02,83720.0,73831.0,2904.0,2691.0,0.03468705207835643
Asia,2020-03,179033.0,95313.0,7136.0,4232.0,0.03985857355906453
Asia,2020-04,520964.0,341931.0,18706.0,11570.0,0.03590651177432606
Asia,2020-05,1138778.0,617814.0,30831.0,12125.0,0.027073758010779977
Asia,2020-06,2305204.0,1166426.0,56983.0,26152.0,0.024719287316870873
Asia,2020-07,4296518.0,1991314.0,96726.0,39743.0,0.022512648614529254
Asia,2020-08,7113877.0,2817359.0,142607.0,45881.0,0.020046312299186506
Asia,2020-09,10668654.0,3554777.0,195117.0,52510.0,0.018288811315841716
Asia,2020-10,13714627.0,3045973.0,243328.0,48211.0,0.017742225144001363
Asia,2020-11,16791288.0,3076661.0,292161.0,48833.0,0.017399558628260082
Asia,2020-12,20695037.0,3080524.0,337412.0,45251.0,0.016304005641545844
Australia,2020-01,9.0,9.0,,0.0,
Australia,2020-02,25.0,16.0,,0.0,
Australia,2020-03,4559.0,4534.0,18.0,18.0,0.0039482342618995395
Australia,2020-04,6766.0,2207.0,93.0,75.0,0.013745196571090747
Australia,2020-05,7202.0,436.0,103.0,10.0,0.014301582893640655
Australia,2020-06,7920.0,718.0,104.0,1.0,0.013131313131313131
Australia,2020-07,17280.0,9360.0,201.0,97.0,0.011631944444444445
Australia,2020-08,25819.0,8539.0,657.0,456.0,0.02544637669932995
Australia,2020-09,27096.0,1277.0,888.0,231.0,0.03277236492471213
Australia,2020-10,27595.0,499.0,907.0,19.0,0.03286827323790542
Australia,2020-11,27912.0,317.0,908.0,1.0,0.03253081112066495
Australia,2020-12,28425.0,513.0,909.0,1.0,0.031978891820580474
Austria,2020-02,9.0,9.0,,0.0,
Austria,2020-03,10180.0,10171.0,128.0,128.0,0.012573673870333988
Austria,2020-04,15452.0,5272.0,584.0,456.0,0.03779446026404349
Austria,2020-05,16731.0,1279.0,668.0,84.0,0.039925886079732235
Austria,2020-06,17766.0,1035.0,705.0,37.0,0.03968253968253968
Austria,2020-07,21130.0,3364.0,718.0,13.0,0.033980123047799335
Austria,2020-08,27438.0,6308.0,733.0,15.0,0.02671477512938261
Austria,2020-09,44813.0,17375.0,799.0,66.0,0.01782964764688818
Austria,2020-10,104925.0,60112.0,1109.0,310.0,0.010569454372170599
Austria,2020-11,282456.0,177531.0,3184.0,2075.0,0.011272552185119099
Austria,2020-12,360815.0,78359.0,6222.0,3038.0,0.01724429416737109
Azerbaijan,2020-03,298.0,298.0,5.0,5.0,0.016778523489932886
Azerbaijan,2020-04,1804.0,1506.0,24.0,19.0,0.013303769401330377
Azerbaijan,2020-05,5494.0,3690.0,63.0,39.0,0.011467054969057153
Azerbaijan,2020-06,17524.0,12030.0,213.0,150.0,0.012154759187400136
Azerbaijan,2020-07,31878.0,14354.0,448.0,235.0,0.014053579270970576
Azerbaijan,2020-08,36435.0,4557.0,534.0,86.0,0.014656237134623301
Azerbaijan,2020-09,40229.0,3794.0,591.0,57.0,0.014690894628253251
Azerbaijan,2020-10,55269.0,15040.0,730.0,139.0,0.013208127521757224
Azerbaijan,2020-11,121176.0,65907.0,1392.0,662.0,0.011487423252129134
Azerbaijan,2020-12,218700.0,97524.0,2641.0,1249.0,0.012075903063557384
Bahamas,2020-03,14.0,14.0,,0.0,
Bahamas,2020-04,81.0,67.0,11.0,11.0,0.13580246913580246
Bahamas,2020-05,102.0,21.0,11.0,0.0,0.10784313725490197
Bahamas,2020-06,104.0,2.0,11.0,0.0,0.10576923076923077
Bahamas,2020-07,574.0,470.0,14.0,3.0,0.024390243902439025
Bahamas,2020-08,2217.0,1643.0,50.0,36.0,0.02255299954894001
Bahamas,2020-09,4123.0,1906.0,96.0,46.0,0.023284016492845016
Bahamas,2020-10,6714.0,2591.0,144.0,48.0,0.021447721179624665
Bahamas,2020-11,7541.0,827.0,163.0,19.0,0.021615170401803475
Bahamas,2020-12,7871.0,330.0,170.0,7.0,0.02159827213822894
Bahrain,2020-02,41.0,41.0,,0.0,
Bahrain,2020-03,567.0,526.0,4.0,4.0,0.007054673721340388
Bahrain,2020-04,3040.0,2473.0,8.0,4.0,0.002631578947368421
Bahrain,2020-05,11398.0,8358.0,19.0,11.0,0.0016669591156343218
Bahrain,2020-06,26758.0,15360.0,87.0,68.0,0.003251364078032738
Bahrain,2020-07,40982.0,14224.0,147.0,60.0,0.003586940608071836
Bahrain,2020-08,51972.0,10990.0,190.0,43.0,0.0036558146694373895
Bahrain,2020-09,70864.0,18892.0,251.0,61.0,0.003541995935877173
Bahrain,2020-10,81645.0,10781.0,321.0,70.0,0.003931655337130259
Bahrain,2020-11,86956.0,5311.0,341.0,20.0,0.003921523529141175
Bahrain,2020-12,92675.0,5719.0,352.0,11.0,0.003798219584569733
Bangladesh,2020-03,51.0,51.0,5.0,5.0,0.09803921568627451
Bangladesh,2020-04,7667.0,7616.0,168.0,163.0,0.021912090778661797
Bangladesh,2020-05,47153.0,39486.0,650.0,482.0,0.013784912942972875
Bangladesh,2020-06,145483.0,98330.0,1847.0,1197.0,0.012695641415148161
Bangladesh,2020-07,237661.0,92178.0,3111.0,1264.0,0.013090073676370965
Bangladesh,2020-08,312996.0,75335.0,4281.0,1170.0,0.013677491086148066
Bangladesh,2020-09,363479.0,50483.0,5251.0,970.0,0.014446501723620896
Bangladesh,2020-10,407684.0,44205.0,5923.0,672.0,0.014528409258150922
Bangladesh,2020-11,464932.0,57248.0,6644.0,721.0,0.014290261801725844
Bangladesh,2020-12,513510.0,48578.0,7559.0,915.0,0.014720258612295768
Barbados,2020-03,34.0,34.0,,0.0,
Barbados,2020-04,81.0,47.0,7.0,7.0,0.08641975308641975
Barbados,2020-05,92.0,11.0,7.0,0.0,0.07608695652173914
Barbados,2020-06,97.0,5.0,7.0,0.0,0.07216494845360824
Barbados,2020-07,110.0,13.0,7.0,0.0,0.06363636363636363
Barbados,2020-08,174.0,64.0,7.0,0.0,0.040229885057471264
Barbados,2020-09,190.0,16.0,7.0,0.0,0.03684210526315789
Barbados,2020-10,237.0,47.0,7.0,0.0,0.029535864978902954
Barbados,2020-11,276.0,39.0,7.0,0.0,0.025362318840579712
Barbados,2020-12,383.0,107.0,7.0,0.0,0.018276762402088774
Belarus,2020-02,1.0,1.0,,0.0,
Belarus,2020-03,152.0,151.0,1.0,1.0,0.006578947368421052
Belarus,2020-04,14027.0,13875.0,89.0,88.0,0.006344906252227846
Belarus,2020-05,42556.0,28529.0,235.0,146.0,0.005522135539054423
Belarus,2020-06,62118.0,19562.0,392.0,157.0,0.006310570205093531
Belarus,2020-07,67808.0,5690.0,559.0,167.0,0.008243865030674846
Belarus,2020-08,71843.0,4035.0,681.0,122.0,0.009479002825605836
Belarus,2020-09,78631.0,6788.0,833.0,152.0,0.010593786165761595
Belarus,2020-10,98482.0,19851.0,980.0,147.0,0.009951057045957636
Belarus,2020-11,136647.0,38165.0,1158.0,178.0,0.008474390217128806
Belarus,2020-12,194284.0,57637.0,1424.0,266.0,0.007329476436556793
Belgium,2020-02,1.0,1.0,,0.0,
Belgium,2020-03,12775.0,12774.0,705.0,705.0,0.05518590998043053
Belgium,2020-04,48519.0,35744.0,7594.0,6889.0,0.15651600403965457
Belgium,2020-05,58381.0,9862.0,9467.0,1873.0,0.16215892156694814
Belgium,2020-06,61427.0,3046.0,9747.0,280.0,0.1586761521806372
Belgium,2020-07,68751.0,7324.0,9841.0,94.0,0.14313973614929237
Belgium,2020-08,85236.0,16485.0,9996.0,54.0,0.11727439110235112
Belgium,2020-09,118452.0,33216.0,10016.0,121.0,0.08455745787323135
Belgium,2020-10,429229.0,310777.0,11625.0,1609.0,0.027083444967604706
Belgium,2020-11,577345.0,148116.0,16645.0,5020.0,0.028830248811369284
Belgium,2020-12,646496.0,69151.0,19528.0,2883.0,0.03020591001336435
Belize,2020-03,3.0,3.0,,0.0,
Belize,2020-04,18.0,15.0,2.0,2.0,0.1111111111111111
Belize,2020-05,18.0,0.0,2.0,0.0,0.1111111111111111
Belize,2020-06,24.0,6.0,2.0,0.0,0.08333333333333333
Belize,2020-07,48.0,24.0,2.0,0.0,0.041666666666666664
Belize,2020-08,1007.0,959.0,13.0,11.0,0.012909632571996028
Belize,2020-09,1992.0,985.0,27.0,14.0,0.01355421686746988
Belize,2020-10,3487.0,1495.0,59.0,32.0,0.016919988528821338
Belize,2020-11,5854.0,2367.0,148.0,89.0,0.02528185855825077
Belize,2020-12,10776.0,4922.0,248.0,100.0,0.02301410541945063
Benin,2020-03,9.0,9.0,,0.0,
Benin,2020-04,64.0,55.0,1.0,1.0,0.015625
Benin,2020-05,339.0,168.0,3.0,2.0,0.008849557522123894
Benin,2020-06,1199.0,967.0,21.0,18.0,0.01751459549624687
Benin,2020-07,1805.0,606.0,36.0,15.0,0.019944598337950138
Benin,2020-08,2145.0,340.0,40.0,4.0,0.018648018648018648
Benin,2020-09,2357.0,212.0,41.0,1.0,0.017394993635977938
Benin,2020-10,2643.0,286.0,41.0,0.0,0.015512674990541053
Benin,2020-11,3015.0,372.0,43.0,2.0,0.014262023217247097
Benin,2020-12,3251.0,236.0,44.0,1.0,0.01353429713934174
Bhutan,2020-03,4.0,4.0,,0.0,
Bhutan,2020-04,7.0,3.0,,0.0,
Bhutan,2020-05,43.0,36.0,,0.0,
Bhutan,2020-06,77.0,34.0,,0.0,
Bhutan,2020-07,101.0,24.0,,0.0,
Bhutan,2020-08,225.0,124.0,,0.0,
Bhutan,2020-09,282.0,57.0,,0.0,
Bhutan,2020-10,349.0,67.0,,0.0,
Bhutan,2020-11,410.0,61.0,,0.0,
Bhutan,2020-12,670.0,260.0,,0.0,
Bolivia,2020-03,107.0,107.0,6.0,6.0,0.056074766355140186
Bolivia,2020-04,1167.0,1060.0,62.0,56.0,0.05312767780634105
Bolivia,2020-05,9982.0,8815.0,313.0,251.0,0.03135644159487077
Bolivia,2020-06,33219.0,23237.0,1123.0,810.0,0.0338059544236732
Bolivia,2020-07,76789.0,43570.0,2977.0,1854.0,0.03876857362382633
Bolivia,2020-08,116598.0,39809.0,5027.0,2050.0,0.04311394706598741
Bolivia,2020-09,135311.0,18713.0,7965.0,2938.0,0.05886439387780742
Bolivia,2020-10,141757.0,6446.0,8725.0,760.0,0.061548988762459705
Bolivia,2020-11,144708.0,2951.0,8957.0,232.0,0.06189706166901623
Bolivia,2020-12,160124.0,15416.0,9165.0,208.0,0.0572368914091579
Bosnia and Herzegovina,2020-03,420.0,420.0,13.0,13.0,0.030952380952380953
Bosnia and Herzegovina,2020-04,1757.0,1337.0,69.0,56.0,0.03927148548662493
Bosnia and Herzegovina,2020-05,2510.0,753.0,153.0,84.0,0.06095617529880478
Bosnia and Herzegovina,2020-06,4453.0,1943.0,186.0,33.0,0.041769593532450036
Bosnia and Herzegovina,2020-07,11876.0,7423.0,339.0,153.0,0.02854496463455709
Bosnia and Herzegovina,2020-08,19964.0,8088.0,609.0,270.0,0.030504908835904627
Bosnia and Herzegovina,2020-09,27469.0,7505.0,856.0,247.0,0.0311624012523208
Bosnia and Herzegovina,2020-10,50090.0,22621.0,1234.0,378.0,0.024635655819524854
Bosnia and Herzegovina,2020-11,87901.0,37811.0,2681.0,1447.0,0.03050022184047963
Bosnia and Herzegovina,2020-12,110985.0,23084.0,4050.0,1369.0,0.036491417759156645
Botswana,2020-03,4.0,4.0,1.0,1.0,0.25
Botswana,2020-04,23.0,19.0,1.0,0.0,0.043478260869565216
Botswana,2020-05,35.0,12.0,1.0,0.0,0.02857142857142857
Botswana,2020-06,227.0,192.0,1.0,0.0,0.004405286343612335
Botswana,2020-07,804.0,577.0,2.0,1.0,0.0024875621890547263
Botswana,2020-08,1633.0,829.0,6.0,4.0,0.003674219228413962
Botswana,2020-09,3172.0,1539.0,16.0,10.0,0.005044136191677175
Botswana,2020-10,6642.0,3470.0,24.0,8.0,0.0036133694670280035
Botswana,2020-11,10742.0,4100.0,34.0,10.0,0.003165146155278347
Botswana,2020-12,14805.0,4063.0,42.0,8.0,0.0028368794326241137
Brazil,2020-02,2.0,2.0,,0.0,
Brazil,2020-03,5717.0,5715.0,201.0,201.0,0.035158299807591394
Brazil,2020-04,87187.0,81470.0,6006.0,5805.0,0.06888641655292647
Brazil,2020-05,514849.0,427662.0,29314.0,23308.0,0.056937082523225255
Brazil,2020-06,1402041.0,887192.0,59594.0,30280.0,0.042505176382145744
Brazil,2020-07,2662485.0,1260444.0,92475.0,32881.0,0.0347325900427608
Brazil,2020-08,3908272.0,1245787.0,121381.0,28906.0,0.031057459665038666
Brazil,2020-09,4810935.0,902663.0,143952.0,22571.0,0.029921834321187047
Brazil,2020-10,5535605.0,724670.0,159884.0,15932.0,0.028882841170928923
Brazil,2020-11,6335878.0,800273.0,173120.0,13236.0,0.02732375844358114
Brazil,2020-12,7675973.0,1340095.0,194949.0,21829.0,0.025397301423545914
Brunei,2020-03,129.0,129.0,1.0,1.0,0.007751937984496124
Brunei,2020-04,138.0,9.0,1.0,0.0,0.007246376811594203
Brunei,2020-05,141.0,3.0,2.0,1.0,0.014184397163120567
Brunei,2020-06,141.0,0.0,3.0,1.0,0.02127659574468085
Brunei,2020-07,141.0,0.0,3.0,0.0,0.02127659574468085
Brunei,2020-08,144.0,3.0,3.0,0.0,0.020833333333333332
Brunei,2020-09,146.0,2.0,3.0,0.0,0.02054794520547945
Brunei,2020-10,148.0,2.0,3.0,0.0,0.02027027027027027
Brunei,2020-11,150.0,2.0,3.0,0.0,0.02
Brunei,2020-12,157.0,7.0,3.0,0.0,0.01910828025477707
Bulgaria,2020-03,399.0,399.0,8.0,8.0,0.020050125313283207
Bulgaria,2020-04,1506.0,1107.0,66.0,58.0,0.043824701195219126
Bulgaria,2020-05,2513.0,1007.0,140.0,74.0,0.055710306406685235
Bulgaria,2020-06,4989.0,2476.0,230.0,90.0,0.046101423130887956
Bulgaria,2020-07,11690.0,6701.0,383.0,153.0,0.03276304533789564
Bulgaria,2020-08,16266.0,4576.0,629.0,246.0,0.03866961760727899
Bulgaria,2020-09,20833.0,4567.0,825.0,196.0,0.03960063361013776
Bulgaria,2020-10,52844.0,32011.0,1279.0,454.0,0.02420331541896904
Bulgaria,2020-11,145300.0,92456.0,4035.0,2756.0,0.027770130763936682
Bulgaria,2020-12,202266.0,56966.0,7576.0,3541.0,0.0374556277377315
Burkina Faso,2020-03,261.0,261.0,14.0,14.0,0.05363984674329502
Burkina Faso,2020-04,645.0,384.0,43.0,29.0,0.06666666666666667
Burkina Faso,2020-05,847.0,202.0,53.0,10.0,0.06257378984651712
Burkina Faso,2020-06,962.0,115.0,53.0,0.0,0.0550935550935551
Burkina Faso,2020-07,1106.0,144.0,53.0,0.0,0.04792043399638336
Burkina Faso,2020-08,1368.0,262.0,55.0,2.0,0.0402046783625731
Burkina Faso,2020-09,2056.0,688.0,58.0,3.0,0.02821011673151751
Burkina Faso,2020-10,2500.0,444.0,67.0,9.0,0.0268
Burkina Faso,2020-11,2886.0,386.0,68.0,1.0,0.02356202356202356
Burkina Faso,2020-12,6707.0,3821.0,85.0,17.0,0.012673326375428657
Burundi,2020-03,2.0,2.0,,0.0,
Burundi,2020-04,11.0,9.0,1.0,1.0,0.09090909090909091
Burundi,2020-05,63.0,52.0,1.0,0.0,0.015873015873015872
Burundi,2020-06,170.0,107.0,1.0,0.0,0.0058823529411764705
Burundi,2020-07,387.0,217.0,1.0,0.0,0.002583979328165375
Burundi,2020-08,445.0,58.0,1.0,0.0,0.0022471910112359553
Burundi,2020-09,508.0,63.0,1.0,0.0,0.001968503937007874
Burundi,2020-10,585.0,77.0,1.0,0.0,0.0017094017094017094
Burundi,2020-11,688.0,103.0,1.0,0.0,0.0014534883720930232
Burundi,2020-12,818.0,130.0,2.0,1.0,0.0024449877750611247
Cambodia,2020-01,1.0,1.0,,0.0,
Cambodia,2020-02,1.0,0.0,,0.0,
Cambodia,2020-03,109.0,108.0,,0.0,
Cambodia,2020-04,122.0,13.0,,0.0,
Cambodia,2020-05,125.0,3.0,,0.0,
Cambodia,2020-06,141.0,16.0,,0.0,
Cambodia,2020-07,239.0,98.0,,0.0,
Cambodia,2020-08,274.0,35.0,,0.0,
Cambodia,2020-09,277.0,3.0,,0.0,
Cambodia,2020-10,291.0,14.0,,0.0,
Cambodia,2020-11,326.0,35.0,,0.0,
Cambodia,2020-12,378.0,52.0,,0.0,
Cameroon,2020-03,193.0,193.0,6.0,6.0,0.031088082901554404
Cameroon,2020-04,1832.0,1639.0,61.0,55.0,0.03329694323144105
Cameroon,2020-05,5904.0,4072.0,191.0,130.0,0.0323509485094851
Cameroon,2020-06,12592.0,6688.0,313.0,122.0,0.02485705209656925
Cameroon,2020-07,17255.0,4663.0,391.0,78.0,0.022660098522167486
Cameroon,2020-08,19142.0,1887.0,411.0,20.0,0.021471110646745378
Cameroon,2020-09,20838.0,1696.0,418.0,7.0,0.02005950667050581
Cameroon,2020-10,21793.0,955.0,426.0,8.0,0.01954756114348644
Cameroon,2020-11,24445.0,2652.0,437.0,11.0,0.017876866434853752
Cameroon,2020-12,26277.0,1832.0,448.0,11.0,0.01704913041823648
Canada,2020-01,4.0,4.0,,0.0,
Canada,2020-02,20.0,16.0,,0.0,
Canada,2020-03,8527.0,8507.0,152.0,152.0,0.017825730034009616
Canada,2020-04,54457.0,45930.0,4179.0,4027.0,0.0767394458012744
Canada,2020-05,92479.0,38022.0,7906.0,3727.0,0.08548967873787562
Canada,2020-06,106097.0,13618.0,8780.0,874.0,0.08275446054082584
Canada,2020-07,118281.0,12184.0,9025.0,245.0,0.07630135017458425
Canada,2020-08,130918.0,12637.0,9193.0,168.0,0.07021952672665333
Canada,2020-09,161107.0,30189.0,9391.0,198.0,0.05829045292879887
Canada,2020-10,237313.0,76206.0,10276.0,885.0,0.04330146262530919
Canada,2020-11,381557.0,144244.0,12239.0,1963.0,0.03207646563947195
Canada,2020-12,584409.0,202852.0,15762.0,3523.0,0.02697083720476584
Cape Verde,2020-03,6.0,6.0,1.0,1.0,0.16666666666666666
Cape Verde,2020-04,121.0,115.0,1.0,0.0,0.008264462809917356
Cape Verde,2020-05,435.0,314.0,4.0,3.0,0.009195402298850575
Cape Verde,2020-06,1227.0,792.0,15.0,11.0,0.012224938875305624
Cape Verde,2020-07,2451.0,1224.0,23.0,8.0,0.009383924928600572
Cape Verde,2020-08,3884.0,1433.0,40.0,17.0,0.010298661174047374
Cape Verde,2020-09,6024.0,2140.0,60.0,20.0,0.0099601593625498
Cape Verde,2020-10,8793.0,2769.0,95.0,35.0,0.010804048675082452
Cape Verde,2020-11,10761.0,1968.0,105.0,10.0,0.009757457485363814
Cape Verde,2020-12,11840.0,1079.0,113.0,8.0,0.009543918918918919
Cayman Islands,2020-12,,0.0,,0.0,
Central African Republic,2020-03,3.0,3.0,,0.0,
Central African Republic,2020-04,50.0,47.0,,0.0,
Central African Republic,2020-05,1011.0,961.0,2.0,2.0,0.0019782393669634025
Central African Republic,2020-06,3745.0,2734.0,47.0,45.0,0.012550066755674232
Central African Republic,2020-07,4608.0,863.0,59.0,12.0,0.012803819444444444
Central African Republic,2020-08,4711.0,103.0,62.0,3.0,0.013160687752069624
Central African Republic,2020-09,4829.0,118.0,62.0,0.0,0.012839097121557258
Central African Republic,2020-10,4866.0,37.0,62.0,0.0,0.012741471434443074
Central African Republic,2020-11,4913.0,47.0,63.0,1.0,0.012823122328516182
Central African Republic,2020-12,4963.0,50.0,63.0,0.0,0.012693935119887164
Chad,2020-03,7.0,7.0,,0.0,
Chad,2020-04,73.0,66.0,5.0,5.0,0.0684931506849315
Chad,2020-05,778.0,705.0,65.0,60.0,0.08354755784061697
Chad,2020-06,866.0,88.0,74.0,9.0,0.08545034642032333
Chad,2020-07,936.0,70.0,75.0,1.0,0.08012820512820513
Chad,2020-08,1013.0,77.0,77.0,2.0,0.07601184600197433
Chad,2020-09,1200.0,187.0,85.0,8.0,0.07083333333333333
Chad,2020-10,1483.0,283.0,98.0,13.0,0.06608226567768037
Chad,2020-11,1688.0,205.0,101.0,3.0,0.059834123222748815
Chad,2020-12,2113.0,425.0,104.0,3.0,0.04921911973497397
Chile,2020-02,2.0,2.0,,0.0,
Chile,2020-03,2844.0,2842.0,12.0,12.0,0.004219409282700422
Chile,2020-04,17702.0,14858.0,227.0,215.0,0.012823409784205174
Chile,2020-05,123550.0,105848.0,1054.0,827.0,0.008530959125859976
Chile,2020-06,279393.0,155843.0,5688.0,4634.0,0.020358419860196927
Chile,2020-07,355667.0,76274.0,9457.0,3769.0,0.02658947836037642
